date,yhat,yhat_lower,yhat_upper,model,product_name,distributor,key_type,key_id
2025-10-01,920.9800000000001,-1850.8283416511808,3692.788341651181,sarimax,DOUBLE POTENCY CBD 30MG VALUE SIZE 90SG,THRESHOLD,product_distributor,DOUBLE POTENCY CBD 30MG VALUE SIZE 90SG | THRESHOLD
2025-11-01,920.9800000000001,-2998.948949061978,4840.908949061978,sarimax,DOUBLE POTENCY CBD 30MG VALUE SIZE 90SG,THRESHOLD,product_distributor,DOUBLE POTENCY CBD 30MG VALUE SIZE 90SG | THRESHOLD
2025-12-01,920.9800000000001,-3879.9328765830783,5721.892876583079,sarimax,DOUBLE POTENCY CBD 30MG VALUE SIZE 90SG,THRESHOLD,product_distributor,DOUBLE POTENCY CBD 30MG VALUE SIZE 90SG | THRESHOLD
2025-05-01,624.72,-2147.0883416511806,3396.528341651181,sarimax,DOUBLE POTENCY FISH OIL PURE 60SG,THRESHOLD,product_distributor,DOUBLE POTENCY FISH OIL PURE 60SG | THRESHOLD
2025-06-01,624.72,-3295.2089490619783,4544.648949061978,sarimax,DOUBLE POTENCY FISH OIL PURE 60SG,THRESHOLD,product_distributor,DOUBLE POTENCY FISH OIL PURE 60SG | THRESHOLD
2025-07-01,624.72,-4176.192876583078,5425.6328765830785,sarimax,DOUBLE POTENCY FISH OIL PURE 60SG,THRESHOLD,product_distributor,DOUBLE POTENCY FISH OIL PURE 60SG | THRESHOLD
2025-08-01,624.72,-4918.896683302361,6168.336683302362,sarimax,DOUBLE POTENCY FISH OIL PURE 60SG,THRESHOLD,product_distributor,DOUBLE POTENCY FISH OIL PURE 60SG | THRESHOLD
2025-09-01,624.72,-5573.231872533002,6822.671872533003,sarimax,DOUBLE POTENCY FISH OIL PURE 60SG,THRESHOLD,product_distributor,DOUBLE POTENCY FISH OIL PURE 60SG | THRESHOLD
2025-10-01,624.72,-6164.796101835419,7414.2361018354195,sarimax,DOUBLE POTENCY FISH OIL PURE 60SG,THRESHOLD,product_distributor,DOUBLE POTENCY FISH OIL PURE 60SG | THRESHOLD
2025-11-01,624.72,-6708.795553943381,7958.235553943381,sarimax,DOUBLE POTENCY FISH OIL PURE 60SG,THRESHOLD,product_distributor,DOUBLE POTENCY FISH OIL PURE 60SG | THRESHOLD
2025-12-01,624.72,-7215.137898123956,8464.577898123956,sarimax,DOUBLE POTENCY FISH OIL PURE 60SG,THRESHOLD,product_distributor,DOUBLE POTENCY FISH OIL PURE 60SG | THRESHOLD
2025-07-01,29.740000000000094,-2742.0683416511806,2801.548341651181,sarimax,DOUBLE POTENCY FISH OIL PURE 60SG ##V,THRESHOLD,product_distributor,DOUBLE POTENCY FISH OIL PURE 60SG ##V | THRESHOLD
2025-08-01,29.740000000000094,-3890.188949061978,3949.6689490619783,sarimax,DOUBLE POTENCY FISH OIL PURE 60SG ##V,THRESHOLD,product_distributor,DOUBLE POTENCY FISH OIL PURE 60SG ##V | THRESHOLD
