distributor,product_name,revenue_ytd,units_ytd,txn_count
PALKO,Gut to Brain Hunger Control,1127.19,49,25
PALKO,Hair Follicle Stimulator,174.16000000000003,9,4
PALKO,Healthy Brain ALA & BacoMind,81.56,4,2
PALKO,Healthy Brain All Day Focus,999.1399999999999,47,17
PALKO,Healthy Flow Saw Palmetto,758.74,39,22
PALKO,Healthy Tract Prebiotic,149.5,11,3
PALKO,High Potency Mega D3 K2 Turmeric Extract,2597.45,209,83
PALKO,Immuno Shield All Season Wellness,2165.87,146,44
PALKO,Inflamma Less,3296.87,174,55
PALKO,Inholtra Premium Lubri-Joint,1111.98,43,14
PALKO,Keto Karma Burn Fat RED,310.83000000000004,18,7
PALKO,L Arginine + Horny Goat Weed,1323.71,75,21
PALKO,L Citruline + L Arginine,1023.6400000000002,73,31
PALKO,Libido Max for Active Men,1432.62,91,43
PALKO,Liver Detox & Blood Refresh,2179.2200000000007,123,53
PALKO,Living Green Men's Multi,1990.8000000000002,97,47
PALKO,Living Green Women's Multi,1815.72,86,36
PALKO,Longer Stroniger Hair & Nails,893.3499999999999,66,32
PALKO,Longjack Extract + Potency Wood Primal-Male,29.9,2,1
PALKO,Love My Legs,332.06,18,12
PALKO,Maca Root & Ashwagandha,2191.4400000000005,133,55
PALKO,Magnesium + Milk Thistle & Turmeric,91.75,5,3
PALKO,Maximum Strength 3 in 1 Carb Blocker,869.4900000000001,69,36
PALKO,Mental Clarity Information Retention,648.0500000000001,37,17
PALKO,Mighty Moringa,3718.9799999999996,266,91
PALKO,Milk Thistle Liver Cleanse,3462.32,205,85
PALKO,Milk Thistle Liver Detox,2343.5699999999997,150,49
PALKO,Next Level Steel Libido X2,937.2399999999999,46,27
PALKO,Nitric Oxide Pre Sport,4455.240000000001,275,92
PALKO,One Per Day Mega B12,1257.73,87,31
PALKO,Only One Liquid Gel Multi with Iron,1104.6100000000001,71,34
PALKO,Only One Liquid Gel Multi without Iron,1356.9999999999998,86,42
PALKO,Optimuim Strength Testosterone UP PRO Growth,741.72,30,16
PALKO,Power Male Horny Goat Weed w/ Nitric Oxide Boost,1464.92,105,48
PALKO,Power to Sleep,2906.8900000000003,210,89
PALKO,Power to Sleep Magnesium PM + Relaxing Flower Complex,54.36,4,3
